1,10796,0,9021,1775,12903,8159,0
2,10994,0,6212,4469,16915,9874,313
3,10761,0,4712,5393,18025,9840,656
4,10837,0,4482,5340,18298,9351,1015
5,10647,0,4194,5301,18195,9581,1152
6,10804,0,4250,5363,18335,9792,1191
7,10742,0,4149,5326,18869,9527,1267
8,10878,0,4269,5286,19338,9789,1323
9,10835,0,4136,5315,19836,9771,1384
10,10780,0,4090,5356,19660,9709,1334
11,10690,0,4006,5284,19878,9770,1400
12,10716,0,4030,5235,20915,9826,1451
13,10896,0,4041,5333,21404,9907,1522
14,10780,0,3979,5306,20949,9849,1495
15,10819,0,4012,5208,21417,9635,1599
16,10805,0,4067,5274,21805,9653,1464
17,10945,0,3945,5387,22110,9493,1613
18,10757,0,4004,5227,21952,9788,1526
19,10824,0,4004,5244,21995,9794,1576
20,10954,0,4123,5335,22721,9498,1496
21,10893,0,4020,5253,22840,9453,1620
22,10903,0,3944,5307,22676,9790,1652
23,10882,0,3968,5339,23149,9713,1575
24,10847,0,3930,5319,22733,9681,1598
25,10681,0,4004,5083,22871,9869,1594
26,10728,0,3892,5166,23301,9829,1670
27,10887,0,3938,5312,23587,9955,1637
28,10920,0,3986,5299,23816,9753,1635
29,10757,0,3933,5146,24103,9575,1678
30,10799,0,3896,5264,23892,9455,1639
31,10676,0,3833,5218,24036,9870,1625
32,10869,0,3877,5322,24655,9584,1670
33,10773,0,3858,5259,24264,9932,1656
34,10983,0,3970,5336,24375,9930,1677
35,11004,0,3864,5401,25038,9931,1739
36,10947,0,3814,5389,24258,9989,1744
37,10716,0,3805,5238,24471,9879,1673
38,10811,0,3862,5261,24807,9811,1688
39,10891,0,3852,5306,25375,9859,1733
40,10898,0,3943,5212,25611,9874,1743
41,10905,0,3855,5363,25607,9696,1687
42,10745,0,3797,5232,25553,9973,1716
43,10920,0,3931,5357,25723,9971,1632
44,10847,0,3840,5323,25786,9698,1684
45,10921,0,3850,5276,26214,9598,1795
46,10741,0,3791,5226,26495,9722,1724
47,10713,0,3753,5195,26257,9632,1765
48,10780,0,3814,5298,26584,9361,1668
49,10798,0,3829,5280,26889,9805,1689
50,10931,0,3820,5333,27203,9439,1778
51,10868,0,3847,5289,27082,9650,1732
52,10983,0,3882,5321,27627,9672,1780
53,10819,0,3737,5354,27367,9651,1728
54,10877,0,3846,5318,26931,9990,1713
55,11071,0,3836,5471,28157,9640,1764
56,10935,0,3828,5311,27758,9954,1796
57,10962,0,3827,5377,27787,9887,1758
58,10701,0,3669,5257,27740,9213,1775
59,10822,0,3721,5353,27815,9535,1748
60,10797,0,3761,5258,28145,9757,1778
61,9824,0,3506,4767,27198,9756,1551
62,9909,0,3334,5066,26741,9848,1509
63,9807,0,3317,4951,26294,9903,1539
64,9795,0,3277,4966,26056,9853,1552
65,10142,0,3383,5190,26955,9962,1569
66,9695,0,3218,4968,26535,9890,1509
67,9775,0,3307,4932,26350,9678,1536
68,10037,0,3394,5052,26763,9930,1591
69,9851,0,3333,4957,26576,9938,1561
70,9987,0,3422,4978,26578,9659,1587
71,9876,0,3412,4973,26338,9853,1491
72,9991,0,3383,5070,26989,9655,1538
73,9769,0,3330,4998,26584,9956,1441
74,9770,0,3301,4973,26356,9734,1496
75,9846,0,3314,5039,26860,9311,1493
76,9762,0,3309,4906,26585,9956,1547
77,9802,0,3390,4893,26396,9789,1519
78,9895,0,3333,5044,26308,9905,1518
79,9807,0,3266,5047,26909,9518,1494
80,9930,0,3366,5010,27040,9891,1554
