1,10796,0,8971,1825,12632,9017,0,0
2,10994,0,6398,4468,17143,9642,128,1461
3,10761,0,5150,5330,18284,9159,281,3200
4,10837,0,5176,5259,18615,9997,402,3633
5,10647,0,4919,5200,18195,9927,528,4547
6,10804,0,5048,5198,18802,9999,558,4576
7,10742,0,4865,5328,19226,9857,549,5807
8,10878,0,5027,5284,20039,9780,567,6175
9,10835,0,4998,5246,20341,9921,591,7429
10,10780,0,4979,5201,20049,9829,600,8145
11,10690,0,4822,5261,20539,9836,607,8905
12,10716,0,4940,5198,21408,9820,578,10053
13,10896,0,4923,5336,22218,9670,637,10670
14,10780,0,4903,5243,21915,9698,634,11975
15,10819,0,5000,5178,22020,9908,641,13456
16,10805,0,4988,5214,22346,9939,603,13690
17,10945,0,4942,5360,22885,9442,643,14309
18,10757,0,4826,5285,22742,9660,646,14283
19,10824,0,4956,5236,22420,9880,632,14490
20,10954,0,4925,5355,23326,9814,674,15120
21,10893,0,4970,5265,23201,9900,658,15824
22,10903,0,4896,5341,23195,9769,666,15707
23,10882,0,4940,5303,23840,9625,639,16059
24,10847,0,4959,5251,23540,9525,637,16177
25,10681,0,4939,5054,23557,9850,688,16840
26,10728,0,4923,5083,23898,9831,722,16789
27,10887,0,4924,5258,23888,9978,705,16637
28,10920,0,4947,5232,24430,9551,741,16635
29,10757,0,5029,5038,24821,9672,690,17035
30,10799,0,4822,5258,24545,9964,719,16861
31,10676,0,4879,5085,24704,9782,712,17302
32,10869,0,4945,5213,25343,9504,711,17198
33,10773,0,4821,5258,25175,9948,694,17244
34,10983,0,5064,5218,25331,9897,701,17743
35,11004,0,4948,5324,25902,9938,732,18089
36,10947,0,4909,5287,25888,9476,751,18573
37,10716,0,4900,5072,25728,9482,744,18834
38,10811,0,4879,5263,25591,9983,669,20068
39,10891,0,4940,5239,26227,9789,712,20795
40,10898,0,5007,5216,26316,9859,675,21499
41,10905,0,4968,5225,26334,9822,712,21586
42,10745,0,4917,5109,26474,9744,719,21867
43,10920,0,4961,5256,26426,9885,703,23104
44,10847,0,4872,5250,26614,9850,725,23034
45,10921,0,5052,5189,27078,9674,680,23174
46,10741,0,4934,5088,27145,9703,719,23915
47,10713,0,4892,5083,26967,9534,738,24569
48,10780,0,4819,5253,27372,9555,708,24469
49,10798,0,4867,5202,27700,9611,729,24477
50,10931,0,4933,5272,27685,9553,726,24452
51,10868,0,4873,5242,27734,9771,753,24320
52,10983,0,4976,5278,29059,9975,729,24439
53,10819,0,4966,5136,28111,9816,717,24529
54,10877,0,4952,5234,28072,9708,691,24236
55,11071,0,4982,5331,28645,9614,758,24263
56,10935,0,4870,5325,28472,9926,740,24563
57,10962,0,4913,5320,28539,9640,729,25429
58,10701,0,4735,5211,28546,9751,755,25647
59,10822,0,4860,5218,28702,9519,744,25483
60,10797,0,4841,5231,28723,9976,725,26086
61,9824,0,4538,4653,28108,9664,633,26788
62,9909,0,4320,4937,27438,9393,652,26707
63,9807,0,4242,4954,27161,9969,611,26784
64,9795,0,4270,4882,26989,9790,643,26724
65,10142,0,4510,5010,27521,9783,622,26811
66,9695,0,4188,4838,27230,9975,669,26875
67,9775,0,4331,4847,27002,9321,597,27520
68,10037,0,4284,5085,27512,9871,668,28073
69,9851,0,4345,4856,27035,9660,650,27966
70,9987,0,4327,5021,27161,9475,639,27943
71,9876,0,4346,4918,26491,9839,612,28638
72,9991,0,4413,4951,27515,9886,627,29434
73,9769,0,4129,5010,27157,9719,630,30625
74,9770,0,4170,4972,27047,9742,628,30902
75,9846,0,4226,4995,27275,9957,625,32226
76,9762,0,4212,4863,27281,9852,687,32884
77,9802,0,4273,4883,27401,9946,646,32843
78,9895,0,4298,4941,27399,9385,656,33551
79,9807,0,4130,5041,27328,9752,636,34690
80,9930,0,4307,4996,27604,9915,627,35812
81,10200,0,4411,5158,28355,9733,631,36300
82,9949,0,4285,5014,27798,9992,650,38100
83,9822,0,4212,4953,27947,9641,657,38965
84,9837,0,4340,4851,27647,9824,646,39966
85,9958,0,4340,4934,27984,9521,684,40858
86,9885,0,4325,4935,27908,9651,625,42249
87,9681,0,4157,4894,27441,9891,630,42266
88,9930,0,4310,4968,27987,9945,652,42211
89,9832,0,4315,4860,28007,9818,657,42269
90,9951,0,4374,4924,28191,9588,653,42304
91,9836,0,4339,4825,28134,9727,672,42285
92,9929,0,4279,4930,28503,9915,720,42237
93,9897,0,4269,5003,28153,9993,625,42768
94,9709,0,4216,4822,28213,9674,671,43530
95,9957,0,4340,4954,28607,9661,663,44536
96,9861,0,4309,4914,28539,9805,638,44969
97,9713,0,4204,4903,28272,9771,606,44868
98,9770,0,4241,4882,28383,9880,647,45659
99,9773,0,4226,4875,28417,9713,672,45926
100,9821,0,4284,4875,28629,9943,662,45785
101,9960,0,4456,4866,28937,9875,638,46544
102,9999,0,4337,4988,29159,9343,674,46628
103,9941,0,4312,4987,28647,9698,642,46590
104,9813,0,4349,4848,28454,9837,616,46498
105,9818,0,4197,4880,28853,9996,741,47273
106,9873,0,4325,4882,28723,9776,666,47839
107,10062,0,4337,5032,29220,9969,693,48883
108,9860,0,4274,4916,29023,9700,670,49150
109,9838,0,4242,4936,29146,9829,660,49513
110,9815,0,4317,4862,29001,9312,636,49909
111,9905,0,4294,4950,29328,9923,661,49963
112,9942,0,4241,5021,29694,9592,680,49901
113,9972,0,4275,5015,29508,9642,682,50284
114,9866,0,4235,4946,29426,9717,685,50390
115,9914,0,4237,5040,29067,9692,637,50644
116,9809,0,4249,4918,29059,9955,642,51055
117,9841,0,4304,4853,29159,9824,684,51514
118,9853,0,4254,4958,29372,9967,641,52250
119,9864,0,4349,4838,29349,9945,677,53521
120,9941,0,4413,4883,29601,9832,645,54138
121,9452,0,4010,4824,28857,9685,618,54110
122,9426,0,3757,5019,28860,9493,650,54482
123,9460,0,3855,5002,29080,9747,603,55196
124,9515,0,3832,5071,29171,9659,612,56223
125,9454,0,3779,5066,29055,9687,609,56605
126,9376,0,3687,5084,28776,9917,605,56441
127,9415,0,3753,5016,28736,9881,646,56403
128,9609,0,3876,5114,29085,9988,619,56616
129,9575,0,3895,4985,29474,9925,695,58032
130,9348,0,3769,4993,28803,9704,586,58624
